ID,Style name,Machine name,X,Dev,QA,Notes
,426x426 1.5x,426x426_1_5x,a,,,"Focal point scale and crop to 639x639, Image Style Quality 40%, convert to WebP"
,426x426 2x,426x426_2x,a,,,"Focal point scale and crop to 852x852, Image Style Quality 35%, convert to WebP"
,426x426 Non-WebP,426x426_non-webp,a,,,Focal point scale and crop to 426x426
,426x508,426x508,a,,,"Focal point scale and crop to 426x508, convert to WebP"
,426x508 1.5x,426x508_1_5x,a,,,"Focal point scale and crop to 639x762, Image Style Quality 40%, convert to WebP"
,426x508 2x,426x508_2x,a,,,"Focal point scale and crop to 852x1016, Image Style Quality 35%, convert to WebP"
,426x508 Non-WebP,426x508_non-webp,a,,,Focal point scale and crop to 426x508
,492x492,492x492,a,,,"Focal point scale and crop to 492x492, convert to WebP"
,492x492 1.5x,492x492_1_5x,a,,,"Focal point scale and crop to 738x738, Image Style Quality 40%, convert to WebP"
,492x492 2x,492x492_2x,a,,,"Focal point scale and crop to 984x984, Image Style Quality 35%, convert to WebP"
,492x492 Non-WebP,492x492_non-webp,a,,,Focal point scale and crop to 492x492
,539x304,539x304,a,,,"Focal point scale and crop to 539x304, convert to WebP"
,539x304 1.5x,539x304_1_5x,a,,,"Focal point scale and crop to 809x456, Image Style Quality 35%, convert to WebP"
,539x304 2x,539x304_2x,a,,,"Focal point scale and crop to 1078x608, Image Style Quality 30%, convert to WebP"
,539x304 Non-WebP,539x304_non-webp,a,,,Focal point scale and crop to 539x304
,650x650,650x650,a,,,"Focal point scale and crop to 650x650, convert to WebP"
,650x650 1.5x,650x650_1_5x,a,,,"Focal point scale and crop to 975x975, Image Style Quality 40%, convert to WebP"
